URL,title,country,dynastic period,time period,image
http://www.mfa.org/collections/object/tsuba-with-design-of-a-single-bamboo-leaf-11586,Tsuba with design of a single bamboo leaf,Japanese,Edo period,early to mid-19th century,['http://mfas3.s3.amazonaws.com/objects/SC51417.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-okina-mask-and-box-11587,Tsuba with design of okina mask and box,Japanese,Edo period,early to mid-19th century,['http://mfas3.s3.amazonaws.com/objects/SC51418.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-drum-skins-and-box-11593,"Tsuba with design of drum, skins and box",Japanese,Edo period,mid-late 18th century,['http://mfas3.s3.amazonaws.com/objects/SC51424.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-shoki-in-pursuit-of-an-oni-11598,Tsuba with design of Shoki in pursuit of an oni,Japanese,Edo period,Late 18th–early 19th century,['http://mfas3.s3.amazonaws.com/objects/SC51429.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-a-landscape-with-chinese-scholars-11599,Tsuba with design of a landscape with Chinese scholars,Japanese,Edo period,Late 18th century,['http://mfas3.s3.amazonaws.com/objects/SC51430.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-a-rocky-landscape-with-buildings-11601,Tsuba with design of a rocky landscape with buildings,Japanese,Edo period,Early 19th century,['http://mfas3.s3.amazonaws.com/objects/SC51433.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-shoki-capturing-an-oni-11612,Tsuba with design of Shoki capturing an oni,Japanese,Edo period,mid-19th century,['http://mfas3.s3.amazonaws.com/objects/SC51660.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-fukurokuju-holding-a-scroll-11616,Tsuba with design of Fukurokuju holding a scroll,Japanese,Edo period,early to mid-19th century,['http://mfas3.s3.amazonaws.com/objects/SC51664.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-shoki-capturing-an-oni-11622,Tsuba with design of Shoki capturing an oni,Japanese,Edo period,Early 19th century,['http://mfas3.s3.amazonaws.com/objects/SC51670.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-a-mass-of-flying-birds-11625,Tsuba with design of a mass of flying birds,Japanese,Edo period,mid-19th century,['http://mfas3.s3.amazonaws.com/objects/SC51673.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-futen-releasing-a-storm-11626,Tsuba with design of Futen releasing a storm,Japanese,Edo period,mid-19th century,['http://mfas3.s3.amazonaws.com/objects/SC51674.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-the-moon-reflected-in-waves-11648,Tsuba with design of the moon reflected in waves,Japanese,Edo period,mid-19th century,['http://mfas3.s3.amazonaws.com/objects/SC51694.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-dragon-waves-and-clouds-11650,"Tsuba with design of dragon, waves and clouds",Japanese,Edo period,mid-19th century,['http://mfas3.s3.amazonaws.com/objects/SC51696.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-kinko-riding-on-a-carp-11664,Tsuba with design of Kinko riding on a carp,Japanese,Edo period–Meiji era,mid to late 19th century,['http://mfas3.s3.amazonaws.com/objects/SC51710.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-kannon-holding-a-lotus-11666,Tsuba with design of Kannon holding a lotus,Japanese,Edo period–Meiji era,mid to late 19th century,['http://mfas3.s3.amazonaws.com/objects/SC51712.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-kannon-seated-on-a-mountainside-11667,Tsuba with design of Kannon seated on a mountainside,Japanese,Edo period–Meiji era,mid to late 19th century,['http://mfas3.s3.amazonaws.com/objects/SC51713.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-flying-swallow-and-rain-11677,Tsuba with design of flying swallow and rain,Japanese,Edo period,1867,['http://mfas3.s3.amazonaws.com/objects/SC51722.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-autumn-plants-and-arrowheads-11678,Tsuba with design of autumn plants and arrowheads,Japanese,Meiji era,1870,['http://mfas3.s3.amazonaws.com/objects/SC51723.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-shoki-capturing-an-oni-11680,Tsuba with design of Shoki capturing an oni,Japanese,Edo period,mid-19th century,['http://mfas3.s3.amazonaws.com/objects/SC51724.jpg']
http://www.mfa.org/collections/object/tsuba-in-the-form-of-an-okame-and-an-oni-mask-11683,Tsuba in the form of an okame and an oni mask,Japanese,Meiji era,Late 19th century,['http://mfas3.s3.amazonaws.com/objects/SC51727.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-tea-utensils-and-grasses-11692,Tsuba with design of tea utensils and grasses,Japanese,Edo period,early to mid-19th century,['http://mfas3.s3.amazonaws.com/objects/SC51736.jpg']
http://www.mfa.org/collections/object/tsuba-in-the-form-of-a-peach-with-design-of-a-branch-11694,"Tsuba in the form of a peach, with design of a branch",Japanese,Edo period,Late 17th–early 18th century (?),['http://mfas3.s3.amazonaws.com/objects/SC51764.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-four-stylized-hares-11697,Tsuba with design of four stylized hares,Japanese,Edo period,Late 18th–19th century,['http://mfas3.s3.amazonaws.com/objects/SC51767.jpg']
http://www.mfa.org/collections/object/tsuba-in-the-form-of-a-toad-on-a-lotus-leaf-11700,Tsuba in the form of a toad on a lotus leaf,Japanese,Edo period,early to mid-19th century,['http://mfas3.s3.amazonaws.com/objects/SC51770.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-ji-koto-bridge-11701,Tsuba with design of ji (koto bridge),Japanese,Edo period,Late 18th–early 19th century (?),['http://mfas3.s3.amazonaws.com/objects/SC51771.jpg']
http://www.mfa.org/collections/object/tsuba-in-the-form-of-hotei-and-his-sack-11704,Tsuba in the form of Hotei and his sack,Japanese,Edo period,1844,['http://mfas3.s3.amazonaws.com/objects/SC51774.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-fudo-with-doji-and-demon-11711,Tsuba with design of Fudo with doji and demon,Japanese,Edo period–Meiji era,mid to late 19th century,['http://mfas3.s3.amazonaws.com/objects/SC51782.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-rain-dragon-and-characters-11712,Tsuba with design of rain dragon and characters,Japanese,Edo period,early to mid-19th century (?),['http://mfas3.s3.amazonaws.com/objects/SC51783.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-farmer-fox-and-naruko-11718,"Tsuba with design of farmer, fox and naruko",Japanese,Edo period,Late 18th–early 19th century (?),['http://mfas3.s3.amazonaws.com/objects/SC51790.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-two-koronbo-and-a-catfish-11720,Tsuba with design of two Koronbo and a catfish,Japanese,Edo period,mid-late 18th century,['http://mfas3.s3.amazonaws.com/objects/SC51792.jpg']
